From,To,Similarity
520 Tåkelys foran,Airbag foran,0.254
544 Cruise control,Sentrallås,0.075
548 KM visning i speedometer,Lettmet. felg vinter,0.09
654 DAB radio,Radio FM,0.653
6AD MINI Head-Up Display,Antispinn,0.109
6UM MINI Navigation system,,0.0
785 Hvite blinklys,,0.0
7Y2 Chili II pakke,,0.0
842 Kaldt klima utførelse,Klimaanlegg,0.218
851 Tysk språkversjon,Multifunksjonsratt,0.069
885 Instruksjonsbok Svensk,Multifunksjonsratt,0.15
8KA Olje service intervall 2år /30 000 km,Servostyring,0.17
8SM Chassinummer synlig fra utsiden,Sommerhjul,0.099
8TG Tyverisikring/startssperre,Startsperre,0.476
Svr Seter,Oppvarmede seter,0.251
Svr Interiør,Vinterhjul,0.247
Elektrisk justerbare seter m/minne,Elektriske speil,0.426
BLUETOOTH HANDSFREE,Bluetooth,0.711
17'' sommerhjul,Sommerhjul,1.0
Kontrastfarget tak Hvit,Sentrallås,0.119
Manuelt klima,Klimaanlegg,0.307
Stor spoiler bak,,0.0
Tonede ruter fra b-søyle,Oppvarmede seter,0.123
Vinterhjul 15'',Vinterhjul,1.0
DAB Adapter,Vinterhjul,0.05
Høyrejusterbart Ratt,Multifunksjonsratt,0.094
Aut.klimaanlegg to-sone,Klimaanlegg,0.68
Multi Around Monitor System,Multifunksjonsratt,0.192
Skinnseter med justerbar lårstøtte,Oppvarmede seter,0.181
Bi xenon med sving,Vinterhjul,0.102
Bluetooth handsfree og Audiostreaming,Bluetooth,0.529
El.motorvarmer m/timer,Oppvarmede seter,0.155
High Performance stereo / AUX / USB / Bluetooth,Bluetooth,0.564
Kupévarmer med timer,Oppvarmede seter,0.357
Bose høyttalersystem,,0.0
lastebøyler,,0.0
110A IMITATION LEATHER,,0.0
118A IMITATION LEATHER - GRAY,,0.0
Wheel bolt retainer,,0.0
Utstyrskoder,Servostyring,0.158
Trunk room net,Multifunksjonsratt,0.08
Traffic congestion assistant,Antispinn,0.067
LEDER NEVADASCHW,Oppvarmede seter,0.085
Label,,0.0
Lanechange warning,Servostyring,0.024
Language version Swedish,,0.0
Lumbar support driver and passenger,Sentrallås,0.065
M300,,0.0
Onboard vehicle literature Swedish,Multifunksjonsratt,0.031
Park Distance Control PDC,Sentrallås,0.065
RealTime Traffic Information,Sentrallås,0.061
Roller sun vizor rear door,,0.0
Roof rail aluminum satin finish,,0.0
SW,,0.0
Seat heating driverpassenger,Sentrallås,0.07
Seat heating rear,Servostyring,0.031
Selection of COP relevant vehicles,Elektriske speil,0.08
Sun protection glazing,Servostyring,0.021
Supplementary 12V sockets,Startsperre,0.064
Tire pressure display,Antispinn,0.11
Tire with runflat functionality,Multifunksjonsratt,0.043
400 FOLDING ARMREST IN THE REAR,Oppvarmede seter,0.057
U59 SEAT COMFORT PACKAGE,Kjørecomputer,0.077
Svr Eksteriør,Vinterhjul,0.048
6FW MEDIA,Oppvarmede seter,0.071
575  Ekstra 12V strømuttak,Sentrallås,0.064
5A4 LED Headlights,,0.0
5AR Traffic-Queue Assistant,Antispinn,0.056
5DA  Deaktiverbar passasjerkollisjonspute,Kjørecomputer,0.106
5DF  Aktiv cruisekontroll med stop&amp;go funksjon,Multifunksjonsratt,0.222
610  Head up display,Antispinn,0.14
650  CD Spiller,Antispinn,0.217
6AK CONNECTEDDRIVE SERVICES,Servostyring,0.106
6AP REMOTE SERVICES,Servostyring,0.141
6UP NAVIGATION PLUS,,0.0
V56 SPEED + LOAD INDEX 94W,Elektriske speil,0.055
775  Individual anthrazit taktrekk,Antispinn,0.05
4 soners klima,Klimaanlegg,0.372
Acc,,0.0
Auto Off,,0.0
Blind Assist,El.vinduer,0.101
Kjøle boks,,0.0
Meridan lyd System,Sommerhjul,0.07
Reserve hjul løsning,Vinterhjul,0.217
Sports Eksos,Startsperre,0.103
534  Klima-anlegg,Klimaanlegg,0.904
"520  Tåkelys, foran",Airbag foran,0.254
"508 PDC, Parkeringssensor foran og bak",Airbag foran,0.176
4FD Seat Adjustment For Rear Seats,Lettmet. felg vinter,0.08
536 Webasto,,0.0
Drive Alert,,0.0
1 eier,,0.0
205  Automat Steptronic,,0.0
225 Sport Suspesion Settings,Lettmet. felg vinter,0.074
"235  Tilhengerfeste, avtagbart",Startsperre,0.042
248  Oppvarmet Ratt,Oppvarmede seter,0.572
2VB Tyre Pressure Indicator,Servostyring,0.065
313 Utvendig speilpakke,Elektriske speil,0.194
316  Automatisk baklukebetjening,Antiskrens,0.105
320 Bortfall av modellbetegnelse,Sentrallås,0.06
322  Nøkkelfri adkomst og start,Startsperre,0.155
346  Krom-line eksteriør,Vinterhjul,0.032
3AG  Ryggekamera,Sommerhjul,0.063
"3AT  Takrails, aluminium matt",Multifunksjonsratt,0.041
420  Solbeskytta Vinduer,El.vinduer,0.383
423  Velour gulvmatter,Multifunksjonsratt,0.042
481  Sportsseter,Oppvarmede seter,0.162
493  Oppbevaringspakke,Oppvarmede seter,0.115
Avstandskontroll,Sentrallås,0.057
Fjernlysassistent (automatisk dimming av fjernlys),Antiskrens,0.081
9AQ Klimaautomatik 4-Zonen,Klimaanlegg,0.298
465 - gjennomlastningssystem,Servostyring,0.017
6UM Navigasjonssystem,Multifunksjonsratt,0.127
842 Nordisk utførelse/kaldt klima-versjon,Klimaanlegg,0.158
Elektrisk motorvarmer kan ettermonteres,Elektriske speil,0.338
"2pf - bmw la wheel, m star spoke 403",Startsperre,0.131
2vl - variable sport steering,Servostyring,0.06
316 - el.baklukebetjening,Servostyring,0.019
3ac - el.utfellbart hengerfeste,Lettmet. felg vinter,0.054
"403 - glasstak, elektrisk",Elektriske speil,0.478
431 - automatisk avblendbart innvendig speil,Elektriske speil,0.191
481 - sportsseter,Oppvarmede seter,0.162
"3mb - individ.ext.line, burnished alu.",El.vinduer,0.038
"4ae - midtarmlene, foran",Airbag foran,0.188
4ft - alu.brushed lengthw.acc.black hi-gls,,0.0
5as - driving assistant,Antispinn,0.086
5df - adaptive cruise control m/stop&amp;go funksjon,Multifunksjonsratt,0.223
6wa - intrument panel w/extended scope,Sentrallås,0.081
7lf - model m-sport,,0.0
"2pw - bma la wheel, m double spoke 469",,0.0
2vf - adaptive m chassis,,0.0
3ac - hengerfeste,,0.0
6NE Utvidet blåtann kobling med USB,Oppvarmede seter,0.036
674 Hifi-system Harman Kardon,Oppvarmede seter,0.047
5A2 LED HEADLIGHTS,,0.0
5A1 LED tåkelys,,0.0
"R33 LIGHT ALLOY WHEEL 5 DBL-SPOKE DESIGN 20"" ALL-ROUND",Sentrallås,0.106
U09 LEATHER-CLAD INST.PANEL + BELTLINE (ART. EMBOSSED),Startsperre,0.032
U12 FLOOR MATS - VELOUR,,0.0
V46 SPEED+ - LOADINDEX 104 Y,Radio FM,0.126
2HU MINI alufelg Vent Spoke silver,Lettmet. felg vinter,0.126
2TB Sportsautomat,Startsperre,0.077
2XC John Cooper Woorks skinnratt,Multifunksjonsratt,0.064
313 utvendig speilpakke,Elektriske speil,0.194
329 SORTE PANSERSTRIPER,Startsperre,0.071
345 Chrome line interiør,Vinterhjul,0.163
346 Chromeline høyglans,,0.0
359 Siktpakke inkl oppvarmet frontrute,Oppvarmede seter,0.35
383 Tak og speilhus i sort,Elektriske speil,0.225
413 Bagasjeromsnett,Airbag foran,0.093
430 Aut avblendbart utv.speil (El innfellbare),Elektriske speil,0.144
465 Gjennomlastingssystem,Servostyring,0.018
481 Sportsseter foran,Airbag foran,0.227
"4NE Elektrisk kjørevarmer ""blow by heater""",Elektriske speil,0.367
4V9 MINI EXCITEMENT PAKAGE,Sentrallås,0.047
3at - takrails aluminium,,0.0
402 - panorama glasstak,Airbag foran,0.074
P21 AIR QUALITY PACKAGE,Airbag foran,0.104
249 Innvendig speil og sidespeil på førersiden automatisk blendfritt,Elektriske speil,0.261
Side assist / blindsoneassistent / blis,El.vinduer,0.043
Virtual Navi / Navi i dashbord og på skjerm,,0.0
09T Karbonforsterket innvendig plastdel bagasjeromslokk,Airbag foran,0.079
233 DISTRONIC PLUS med Styreassistent,Servostyring,0.125
235 Parkeringsassistent,Servostyring,0.065
237 Aktiv dødvinkelassistent,Vinterhjul,0.06
238 Aktiver Spurhalte-Assistent,Sentrallås,0.039
23P Fahrassistenz-Paket Plus,,0.0
246 AMG spezifische Analoguhr im IWC-Design,Elektriske speil,0.031
277 AMG Sportlenkrad 3-Speichen-Design,Radio FM,0.09
413 - bagasjeromsnett,Airbag foran,0.093
285 Windschott,El.vinduer,0.055
309 Koppholder,Oppvarmede seter,0.083
403 AIRSCARF,Airbag foran,0.112
412 Panorama-Variodach mit MAGIC SKY CONTROL,Airbag foran,0.045
427 AMG SPEEDSHIFT MCT 7G,Elektriske speil,0.051
477 Advarsel om tap av dekktrykk,Elektriske speil,0.054
487 ACTIVE BODY CONTROL ABC,Sentrallås,0.057
4U6 Klimaanlegg uten diffus luftstrømming,Klimaanlegg,0.517
518 Media Interface,Vinterhjul,0.159
Multiratt med F1 sportsgiring,Multifunksjonsratt,0.244
Lane assist / linjeassistent,Sentrallås,0.045
Ergo comfort førersete,Oppvarmede seter,0.109
3 soners klimaanlegg / foran &amp; bak,Klimaanlegg,0.778
417 - solgardiner i bakdører,,0.0
456 - komfortseter m/minne,Oppvarmede seter,0.127
488 - korsryggstøtte fører og passasjersete,Oppvarmede seter,0.073
496 - oppvarmede bakseter,Oppvarmede seter,0.765
"4b9 - interior trim strips, alum.finishgrinding",Vinterhjul,0.092
4nb - autom. climate control with 4-zone ctrl,Klimaanlegg,0.125
4nc - ekstra ventilasjon/varme,Oppvarmede seter,0.151
4ub - 5+2 seter,Oppvarmede seter,0.222
536 - webasto,,0.0
5ar - traffic jam assistant,Antispinn,0.073
Adaptive cruise-kontroll,Sentrallås,0.058
Bluethooth handsfree,Bluetooth,0.45
Elektrisk åpning/steng bakluke,Elektriske speil,0.41
Rockford fossgate lydanlegg,Klimaanlegg,0.24
Tilpasset understellsbehandling,Sentrallås,0.113
El. innfellbart hengerfeste,Lettmet. felg vinter,0.065
Panorama glasstak m/åpning,Airbag foran,0.066
Solgardin sidevinduer bak,El.vinduer,0.4
Sota vinduer,El.vinduer,0.577
P64 FRONT MEMORY PACKAGE,,0.0
M30 DISPLACEMENT 3.0 LITER,Antispinn,0.105
Frontkollisjonsvarsler m/brems,ABS-Bremser,0.162
"17"" Lettmetallfelg  (5-eikedesign)",Lettmet. felg vinter,0.475
632 LED-Scheinwerfer,,0.0
876 Innenraumlicht-Paket,Antispinn,0.037
877 Ambientebeleuchtung,Vinterhjul,0.04
B54 MBCONNECT - ECHTZEIT-VERKEHRSDATEN,,0.0
P29 AMG Line Interieur,Vinterhjul,0.159
P31 AMG Line Exterieur,Vinterhjul,0.033
P44 EINPARK-PAKET,,0.0
P65 Sitzkomfort-Paket,Airbag foran,0.036
Polsterung Ledernachbildung ARTICO,Oppvarmede seter,0.07
2016 årsmodell,,0.0
Arena View,Antiskrens,0.143
Emergency call system,Sentrallås,0.092
Kommunikasjonsmodul for Connect me,Multifunksjonsratt,0.096
Oppbevaringsboks under førersetet,Oppvarmede seter,0.167
Oppbevaringsboks under høyre forsete,Oppvarmede seter,0.165
Sort - Stoff / ARTICO,Startsperre,0.066
Elektriskpakke,Elektriske speil,0.499
Park sensorer foran og bak,Airbag foran,0.245
Ventilasjon i forseter,Oppvarmede seter,0.143
Giring på ratt (paddleshift),Multifunksjonsratt,0.079
611 UMFELDBELEUCHTUNG,Lettmet. felg vinter,0.046
550 Anhängevorrichtung abklappbar,,0.0
427 7-Gang Automatik,,0.0
357 Garmin MAP PILOT,Oppvarmede seter,0.061
High Performance Stereo,Startsperre,0.075
Tilhengerfeste innfellbart,Lettmet. felg vinter,0.058
Webasto med tidsur,Oppvarmede seter,0.044
Gulvplate i varerom,Oppvarmede seter,0.051
Skyvedører,,0.0
TRC (Traction Control),Sentrallås,0.153
Sotede sideruter,Oppvarmede seter,0.134
Dieselvarmer med Volvo On Call (VOC),Oppvarmede seter,0.19
Plusspakke med Volvo On Call,Sentrallås,0.08
Sikkerhetsgitter til bagasjerom,Vinterhjul,0.104
Silk Metal interiørdetaljer,Lettmet. felg vinter,0.149
Sport ratt i skinn med aluminiuminnlegg,Klimaanlegg,0.183
360 grader monitor,Radio FM,0.157
El justerbart førersete,Oppvarmede seter,0.158
Elektronisk parkeringshjelp,Elektriske speil,0.259
2-Schicht-Metallic - PALLADIUMSILBER -,Lettmet. felg vinter,0.101
229L DEUTSCHLAND,,0.0
235 Aktiver Park-Assistent mit PARKTRONIC,Elektriske speil,0.05
246 Analoguhr,,0.0
Svært godt utstyrt Bmw X1 med hele 192 hk. Masse fint utstyr!,Servostyring,0.177
R-Line,,0.0
M276 V6-GASOLINE ENGINE M276,,0.0
872 REAR SEAT BENCH HEATING LEFT UND RIGHT,Servostyring,0.019
4U5 FRONT PASSENGER SEAT ADJUSTMENT TRAVEL LIMITATION,Sentrallås,0.133
55U ROOF INTERIOR TRIM BEIGE FABRIC,Vinterhjul,0.119
587 LOGO PROJECTION VIA MIRROR,,0.0
72T STEUERCODE FUER BAULOSE,El.vinduer,0.171
796U CITRINE BROWN - METALLIC FINISH,Sentrallås,0.06
"806 CHANGE OF MODEL YEAR, THE LAST FIGURE SHOWING THE NEW MODEL YEAR",Servostyring,0.012
814 DVD CHANGER,,0.0
864 REAR ENTERTAINMENT (2 SCREENS),Sentrallås,0.086
865 DIGITAL TV TUNER,,0.0
874 AQUABLADE INCL. HEATED WINDSHIELD WASHER SYSTEM,El.vinduer,0.034
R-Line Interiør og eksteriørpakke,Vinterhjul,0.154
"981 TUEV INDIV. ACCEPTANCE, DOMESTIC, W/O COC PAPERS",Startsperre,0.045
A05 TRANSMISSION ALL-WHEEL CAPABLE,Sentrallås,0.11
B57 KOM MODULE WITH EV FUNCTIONS,Multifunksjonsratt,0.097
F166 SERIES 166,ABS-Bremser,0.052
FW LIMOUSINE,Klimaanlegg,0.09
G204 TRANSMISSION CODE VERSION 4,Sentrallås,0.057
H09 TRIM PIECES - WOOD ASH BROWN,Elektriske speil,0.044
JPQ PLANT CONTROL CODE,Antispinn,0.089
JRL PLANT CONTROL CODE,Antispinn,0.089
401 FRONT SEAT CLIMATE CONTROL,Klimaanlegg,0.154
399 FRONT MULTICONTOUR SEAT WITH MASSAGE FUNCTION,Multifunksjonsratt,0.17
"311 CUP HOLDER, TEMPERATURE-CONTROLLED",Kjørecomputer,0.152
293 SIDEBAG IN REAR LEFT AND RIGHT,Airbag foran,0.097
El.innfellbare speil m/varme,Elektriske speil,0.19
Comfort seter foran,Airbag foran,0.323
El Seter med memory,Oppvarmede seter,0.242
El Speil,Elektriske speil,0.53
El Vindu,El.vinduer,0.507
Harman/Kardon sound system,Oppvarmede seter,0.053
KeyLess,,0.0
Lys/regnsensor,Sentrallås,0.081
M Aerodynamics Package,,0.0
M-Sport pakke,,0.0
Parkeringssystem foran/bak,Airbag foran,0.183
003 MANUAL DATE-CONTROLLED VEHICLE,Kjørecomputer,0.073
"019 FIELD TEST VEHICLES, DEMONSTRATION VEHICLES (CUSTO",Multifunksjonsratt,0.049
102 CONTROL PRODUCTION TEST 2,Sentrallås,0.054
1U7 FOGGING SENSOR,Sentrallås,0.075
210A LEATHER,,0.0
214 ADAPTIVE DAMPING SYSTEM,Antispinn,0.128
215A LEATHER - BEIGE,,0.0
289 LEATHER STEERING WHEEL WITH TRIM INSERT,Servostyring,0.099
LEDER DAKOTASCHWARZ,Oppvarmede seter,0.069
LED.DAK.COGNAC.EX.KEDER IN KONTR,Oppvarmede seter,0.055
LCSW,,0.0
05U Remote Online,ABS-Bremser,0.067
K11 Adaptive bremselys,ABS-Bremser,0.319
P59 Urban/Progressive pakke,Airbag foran,0.066
U25 Belyste innstegslister,Antispinn,0.047
U25 Front passasjersete med vektsensor,Oppvarmede seter,0.114
U59 Setekomfortpakke,Oppvarmede seter,0.094
U60 Aktiv fotgjengerbeskyttelse,,0.0
U62 Lyspakke,,0.0
045 Control code for air cleaner,Airbag foran,0.151
056 YoM X5/2,,0.0
06U Mercedes connect me standard services,Servostyring,0.101
448 Touchpad with rotary pushbutton,Startsperre,0.05
117 Paper management for ROWi certification,Multifunksjonsratt,0.052
121 Hew package of measures,,0.0
140A Imitation leather,,0.0
141A Imitation leather - black / anthracite,Antispinn,0.05
1P6 Control code for Sales,Sentrallås,0.063
2U6 Shortened cooling module,Servostyring,0.018
330B Language of instrument cluster/HU - Danish,Vinterhjul,0.088
"350 Communication Navigation System (CNS), Information Communication System (ICS), eCall Europe emergency call system",Sommerhjul,0.083
3U1 Head unit for Europe/CIS states/Mongolia,Startsperre,0.031
B59 Agility Select,Elektriske speil,0.049
B03 Direktestart eco start/stopp,Startsperre,0.34
873 Varmeseter foran,Oppvarmede seter,0.363
"857 Fargedisplay 8""",Antispinn,0.115
258 Kollisjonsvarsler med aktiv brems,ABS-Bremser,0.171
280 Skinnratt,Multifunksjonsratt,0.111
290 WIndowbag,Airbag foran,0.107
294 Kneairbag,Airbag foran,0.455
350 MBConnect - eCall nødanrop,Sentrallås,0.065
400 Nedfellbart armlene i baksete,Oppvarmede seter,0.129
413 Panoramasoltak,Airbag foran,0.069
428 Lakkerte girhendler,,0.0
429 7 trinns Automatisk Dobbeltclutchgir,Antispinn,0.088
440 Tempomat (Cruisekontroll),Sentrallås,0.049
442 12 knappers multifunksjonsratt,Multifunksjonsratt,0.792
485 (Running Comfort Gear),Kjørecomputer,0.073
51U Svart takinnertrekk,Antispinn,0.052
522 Audio 20 Radio (Navigasjonskapabel NTG5),Radio FM,0.37
537 DAB+,,0.0
538 Attention Assist,Antispinn,0.116
580 Klimaanlegg,Klimaanlegg,0.887
632 LED hovedlys,,0.0
806 Årsmodell 2016,,0.0
427 7-speed automatic transmission,Sentrallås,0.058
474 Diesel particulate filter,Startsperre,0.041
05U MBConnect - Remote online,ABS-Bremser,0.05
- Filskifte og blindsonevarsler,El.vinduer,0.045
"Mester utagve, 3-seter, nye motoren på 122hk!, H.feste, Takbøyler, 2 x Skyvedører, klima, Automatisk tilleggsvarme, Tonede ruter, DGT-bildeskjerm, Bakluke, Fangere i bilens farge, DAB, Ryggesensor F/B + RyggeKAMERA,Wifi Tilkobling, Dødvinkel alarm, Start Stopp",Oppvarmede seter,0.162
Bi-xenonlys,,0.0
R-line dørtersk.list,Klimaanlegg,0.092
"R-line eksteriør 18""",Vinterhjul,0.046
- Adaptiv cruise,,0.0
- Alufelger på sommer og vinterhjul,Sommerhjul,0.678
- Automatgir,,0.0
- BOSE stereo,Vinterhjul,0.05
- Elektrisk justerbare skinnseter med memory,Elektriske speil,0.358
- Firehjulstrekk,Vinterhjul,0.19
522 Audio 20 radio navigation-capable NTG5,Radio FM,0.374
- Lastestativ,Startsperre,0.073
- Xenonlys,,0.0
Bortfall av airbag på passasjerside,Airbag foran,0.355
Brilliant Sølv - Metallic,Sentrallås,0.075
EU / EFTA,,0.0
EUROPA,,0.0
Export,,0.0
Fabrikkskode Modifikasjonspakke,Multifunksjonsratt,0.088
Fjernbetjent sentrallås med komfortfunksjon,Sentrallås,0.456
Fcm - frontkollisjonsvarsel med bremseassistanse,ABS-Bremser,0.205
Drive mode selection,Elektriske speil,0.062
Adaptiv cruisekontroll med frontassist,Sentrallås,0.047
M Sport,,0.0
52V Speed/load index 95Y XL + 97Y XL,Elektriske speil,0.047
668 Prod. prot. f. freight pkging with tie-down hooks,Servostyring,0.014
670 Residual engine heat utilization system (REST),,0.0
725 Roof rails in chrome look,,0.0
739 Trim elements - Aluminum,Elektriske speil,0.093
806 YoM X5/1,,0.0
818 Single CD drive,Servostyring,0.028
916 Fuel tank with large capacity - Volume 1,,0.0
B03 Direct starting / ECO start/stop function,Startsperre,0.315
FS Crewbus,,0.0
G908,,0.0
"K11 Adaptive brake light, flashing",Servostyring,0.02
M013 Derated engine,Multifunksjonsratt,0.048
M020 BlueTEC,Bluetooth,0.364
M22 Displacement 2.2 liter,Antispinn,0.104
M651 Inline 4-cylinder diesel engine M651,El.vinduer,0.032
Model series 205,ABS-Bremser,0.076
P65 Ergonomics package,,0.0
"U77 BlueTEC SCR diesel exhaust gas cleaning, generation 2",Bluetooth,0.197
06U MBConnect - Basic services,Servostyring,0.105
YEB Launch edition,,0.0
LC,,0.0
"Innredning: fin tre ask, sort",Antispinn,0.054
Cruisekontroll med bremseinngrep (Speedtronic),ABS-Bremser,0.191
Dekkreparasjonssett (Tirefit),Multifunksjonsratt,0.096
Drivstofftank: forstørret,Startsperre,0.106
Eksosanlegg 2-flow,Klimaanlegg,0.278
Gulvmatter gummi,Multifunksjonsratt,0.047
Headliner stoff,,0.0
Infotainmentsystem: Mercedes me connect,Oppvarmede seter,0.064
Infotainmentsystem: Remote Online,ABS-Bremser,0.045
Inngangsskinner (rustfritt stål),Antispinn,0.079
Innvendig speil og sidespeil til venstre med automatisk nedblending,Elektriske speil,0.27
Oppvarmet vindusspyler,Oppvarmede seter,0.418
Kjøreassistentsystem: Attention Assist (tretthetsdeteksjonssensor),Multifunksjonsratt,0.125
Kjøreassistentsystem: Kollisjonsvarslingssystem med bremsefunksjon (C,Multifunksjonsratt,0.236
Kjøreassistentsystem: aktiv parkeringsassistent,Kjørecomputer,0.103
Kjøreassistentsystem: fjernlysassistent Adaptive plus,Kjørecomputer,0.097
Komfortchassis senket (Agility Control),Sentrallås,0.096
LED-frontlykter med adaptiv lysfordeling (Intelligent Light System),Vinterhjul,0.086
Lydsystem Audio 20 med Garmin MAP PILOT-forberedelse,Oppvarmede seter,0.123
Nakkestøtter foran NECK-PRO,Airbag foran,0.163
Omgivelseslys,,0.0
Bekkenkollisjonspute foran (bekkenbag),Airbag foran,0.168
Barnesetegjenkjenning i passasjersetet foran (automatisk),Airbag foran,0.112
Bakseter sammenleggbare 1/3-2/3 med gjennomlastingsmulighet og lastefo,Klimaanlegg,0.115
Bakluke med automatisk åpning og lukkingssystem,Antiskrens,0.098
"807 CHANGE OF MODEL YEAR, THE LAST FIGURE SHOWING THE NEW MODEL YEAR",Servostyring,0.012
820 VEHICLES FOR TOURIST,Elektriske speil,0.069
846 SCUFF PLATE IN ALU-APPEARANCE WITH RUBBER STUDS,Airbag foran,0.039
8U7 REAR SEAT BELT WITH BELT FORCE LIMITER AND SOFTST.,Isofix,0.1
900 EXTERIOR CHROME PACKAGE,Vinterhjul,0.03
DP1 No code designation available,,0.0
DP2 No code designation available,,0.0
F253 MODEL SERIES 253,ABS-Bremser,0.047
G268 TRANSMISSION CODE VERSION 69,Sentrallås,0.056
JVO PLANT CONTROL CODE,Antispinn,0.09
JVX PLANT CONTROL CODE,Antispinn,0.089
M005 VEHICLES WITH 4-MATIC-/ALL WHEEL DRIVE,Sentrallås,0.06
P29 AMG LINE INTERIOR/AMG SPORTS PACKAGE INTERIOR,Vinterhjul,0.192
P31 AMG LINE EXTERIOR/AMG SPORTS PACKAGE EXTERIOR,Startsperre,0.045
U35 12 V - SOCKET IN LOAD SPACE,,0.0
U40 CARGO NET BEHIND FRONT SEATS,El.vinduer,0.049
Aktiv hette,Lettmet. felg vinter,0.133
Automatisk,Antiskrens,0.222
Automatisk klimakontroll (Thermatic),Klimaanlegg,0.186
Oppbevaringsrom/oppbevaringsrom under bagasjeromsgulv,Oppvarmede seter,0.102
PRE-SAFE system,,0.0
PNQ MMI® Navigation plus,,0.0
AMG-pakke Eksteriør,Vinterhjul,0.034
"Tilhengerfeste, fast kule",,0.0
Vendbar bagasjeromsmatte,Airbag foran,0.089
Webasto fj.styrt motor/kupevarmer (besindrevet),Oppvarmede seter,0.104
Blind/dødsonevarsler,El.vinduer,0.046
El. seter m/memory,Oppvarmede seter,0.174
Filskifte/trøtthetsvarsler,Oppvarmede seter,0.037
Lyktespylere foran,Airbag foran,0.191
Tillatt Hengervekt m/brems kg1600,ABS-Bremser,0.146
Hengerfeste/Avtagbart,Startsperre,0.043
Seter i Alcantara,Oppvarmede seter,0.149
Ratt (nappaskinn),Multifunksjonsratt,0.109
Svingbar hengerfeste,Vinterhjul,0.075
1XW Sportlederlenkrad mit Multifunktionstasten,Multifunksjonsratt,0.319
7E6 Elektrische Luftzusatzheizung,Elektriske speil,0.219
8BP Bi-Funktionshauptscheinwerfer mit Gasentladungslampe,Multifunksjonsratt,0.114
8T1 Geschwindigkeitsregelanlage,Klimaanlegg,0.053
8YQ Navigationssystem Plus mit MMI-Bedienlogik,Multifunksjonsratt,0.029
9VD Aktiv-Lautsprecher,Startsperre,0.095
"Avtagbart hengerfeste, opp til 1900 kg",Oppvarmede seter,0.058
G1D S tronic (7-Gang),,0.0
El. klappbare sidespeil,Elektriske speil,0.207
Driving Mode Selection (Valg av kjøreprogrammer),Kjørecomputer,0.116
Bi-Xenon hovedlys m/AFS,,0.0
Aut.avblendbart innvendig speil,Elektriske speil,0.158
Ratt med skiftepadler/knapper,Multifunksjonsratt,0.069
Rattstamme (ratt) mekanikk. regulerbar,Multifunksjonsratt,0.126
Reisekalkulator,,0.0
SCR-system (AdBlue-teknologi),Bluetooth,0.222
Sentrallås med infrarød / komfortkontroller,Sentrallås,0.493
Seter foran elektr. regulerbar,Airbag foran,0.29
Sidekollisjonspute (sidebag) foran,Airbag foran,0.228
"Solgardin på bakrute, elektrisk",Elektriske speil,0.384
Utvendig speil med omgivelseslys,Elektriske speil,0.158
Varslingssystem / statusvisning for sikkerhetsbelter bak,Vinterhjul,0.082
adaptivt pauselys,,0.0
nivåkontroll,Sentrallås,0.064
servo elektr. (direkte styring / EPS,Servostyring,0.487
speilpakke,Elektriske speil,0.283
"utvendig speil elektr. justerbar og oppvarming, begge deler",Elektriske speil,0.364
12 Volt uttak i lasterom,Vinterhjul,0.039
"17"" Alum. sommer",Sommerhjul,0.551
230 Volt uttak i baksetet,Oppvarmede seter,0.102
AUX + USB inngang på stereo,Antispinn,0.06
Klimasone 1 Skandinavia,Klimaanlegg,0.214
Kromdetaljer interiør,Vinterhjul,0.134
095 PTC HEATER BOOSTER,Servostyring,0.116
5A1,,0.0
4B9,,0.0
4NE,,0.0
502,,0.0
508,,0.0
534,,0.0
548,,0.0
552,,0.0
563,,0.0
575,,0.0
5AC,,0.0
6AC,,0.0
5AG,,0.0
5AL,,0.0
5AR,,0.0
5AT,,0.0
5DA,,0.0
5DL,,0.0
609,,0.0
610,,0.0
688,,0.0
496,,0.0
494,,0.0
493,,0.0
488,,0.0
2TE,,0.0
2VB,,0.0
2VF,,0.0
302,,0.0
322,,0.0
337,,0.0
3AC,,0.0
3AG,,0.0
3AT,,0.0
3DZ,,0.0
3MB,,0.0
402,,0.0
413,,0.0
417,,0.0
420,,0.0
423,,0.0
428,,0.0
430,,0.0
456,,0.0
698,,0.0
6AE,,0.0
182 CONVERTER WITH DEV. CHARACTERISTIC,Elektriske speil,0.057
Delete crosspattern operation,Lettmet. felg vinter,0.104
Adaptive M suspension,Antiskrens,0.065
AreaCode 2 for DVD,Airbag foran,0.053
Automatic transmission w shift paddles,Sentrallås,0.054
BMW LA wheel M Double Spoke 469,,0.0
Blowby heater,Vinterhjul,0.036
CO2 package,,0.0
Car ident number visible from outside,Sentrallås,0.04
Coldclimate version,Klimaanlegg,0.148
Convenience phone expanded Smartphone,Startsperre,0.032
Delete extra external lettering,Lettmet. felg vinter,0.264
6AG,,0.0
Electric panoramic roof,Elektriske speil,0.103
Extra package EUspecific,Sentrallås,0.061
HarmanKardon Surround Sound system,Oppvarmede seter,0.042
Highbeam assistant,Antispinn,0.076
Indiv Ext Line burnished aluminium,El.vinduer,0.043
Intelligent emergency SOS call,Sentrallås,0.115
Interior strips alu satinpolished,Vinterhjul,0.108
Interioroutside mirror with auto dip,Vinterhjul,0.12
Kilometercalibrated speedometer,Lettmet. felg vinter,0.122
Active Protection,,0.0
