,From,To,Similarity
11399,interior package in black (high-gloss),skinninteriør,0.153
11400,burmester® surround sound,oppvarmede seter,0.081
11401,burmester surround sound,oppvarmede seter,0.081
11402,810 burmester® surround sound,oppvarmede seter,0.077
11403,parkeringssensor front - 4 stk,parkeringsensor bak,0.656
11404,-parkeringssensor front - 4 stk,parkeringsensor bak,0.656
11405,parkeringssensor bak - 4 stk,parkeringsensor bak,0.736
11406,-parkeringssensor bak - 4 stk,parkeringsensor bak,0.736
11407,ota (over the air-oppdateringer),sideairbager,0.112
11408,-ota (over the air-oppdateringer),sideairbager,0.112
11409,napa-skinnseter,skinnseter,0.695
11410,-napa-skinnseter,skinnseter,0.695
11411,luftgardinkollisjonspute - forseter og bakseter,skinnseter,0.176
11412,-luftgardinkollisjonspute - forseter og bakseter,skinnseter,0.176
11413,2jd  støtfanger sport,aux-inngang,0.072
11414,støtfanger sport,aux-inngang,0.083
11415,2jd støtfanger sport ratt,skinnratt,0.131
11416,lane departure warning system (ldw),navigasjonssystem,0.13
11417,-lane departure warning system (ldw),navigasjonssystem,0.13
11418,lane centering control (lcc),cruisekontroll,0.192
11419,-lane centering control (lcc),cruisekontroll,0.192
11420,lane centering control,cruisekontroll,0.226
11421,giallo special stiching,sentrallås,0.063
11422,giallo special stitching,sentrallås,0.06
11423,seteventilasjon,navigasjonssystem,0.16
11424,"seter, ventilasjon",navigasjonssystem,0.182
11425,02vc dekkreparasjonskit,navigasjonssystem,0.159
11426,2vc dekkreparasjonskit,navigasjonssystem,0.166
11427,infotainment system - dilink 3.0,navigasjonssystem,0.128
11428,-infotainment system - dilink 3.0,navigasjonssystem,0.128
11429,070ba powered gesture tailgate / boot lid,bluetooth,0.074
11430,070av powered tailgate / boot lid,bluetooth,0.081
11431,a05 allradfahrzeuge,radio fm,0.094
11432,allradfahrzeuge,radio fm,0.098
11433,stop-and-go adaptive cruise control (acc-s&amp;g),cruisekontroll,0.321
11434,-stop-and-go adaptive cruise control (acc-s&amp;g),cruisekontroll,0.321
11435,elektriske nedfellbare bakseter,elektriske speil,0.45
11436,elektrisk nedfellbare bakseter,elektrisk sete m. memory,0.399
11437,600 scheinwerferreinigungsanlage,startsperre,0.142
11438,scheinwerferreinigungsanlage,startsperre,0.146
11439,sporholder-assistent,ryggekamera,0.062
11440,sporholderassistent,ryggekamera,0.062
11441,sporholdeassistent,sideairbager,0.127
11442,fører- og passasjerairbag,airbag foran,0.471
11443,-fører- og passasjerairbag,airbag foran,0.471
11444,2 x usb-a i armlenet foran,midtarmlene,0.485
11445,-2 x usb-a i armlenet foran,midtarmlene,0.485
11446,4-soners intelligent lydkilde lokalisering,skinninteriør,0.097
11447,-4-soners intelligent lydkilde lokalisering,skinninteriør,0.097
11448,st-line stilpakke * stor bakspoiler,diesel-partikkelfilter,0.106
11449,-st-line stilpakke stor bakspoiler,diesel-partikkelfilter,0.106
11450,qw5 range manager (pvs),sideairbager,0.107
11451,range manager (pvs),sideairbager,0.124
11452,- vinterpakke * oppvarmet ratt og oppvarmede bakseter,oppvarmede seter,0.779
11453,vinterpakke * oppvarmet ratt og oppvarmede bakseter,oppvarmede seter,0.779
11454,u47 spoilerkant,antispinn,0.074
11455,u47 spoilerkant amg,antispinn,0.071
11456,skyvedør ve. m/stopp,oppvarmede seter,0.088
11457,skyvedør hø. m/stopp,oppvarmede seter,0.088
11458,tonede baklykter inkludert lysstripe,oppvarmede seter,0.083
11459,8sb tonede baklykter inkludert lysstripe,oppvarmede seter,0.079
11460,dynamiske blinklys bak,elektriske speil,0.156
11461,dynamiske blinklys,elektriske speil,0.159
11462,administrative for r-design vehicle,vinterdekk,0.083
11463,administrative for r-design vehicle.,vinterdekk,0.083
11464,vc2 homelink® (garage door opener),midtarmlene,0.062
11465,- homelink garage door opener,midtarmlene,0.067
11466,vc1 f homelink® (garage-door opener),midtarmlene,0.057
11467,-night vision assist,air condition,0.057
11468,night vision assist,air condition,0.057
11469,"7"" touchscreen kontrollpanel for passasjerer bak",cruisekontroll,0.199
11470,"-7"" touchscreen kontrollpanel for passasjerer bak",cruisekontroll,0.199
11471,"757 21"" amg spoked wheels all-round",sentrallås,0.065
11472,"633 18"" amg spoke wheels all-round",sentrallås,0.069
11473,"778 20"" amg spoked wheels all-round",sentrallås,0.065
11474,fører- og passasjer-sideairbag,sideairbager,0.674
11475,-fører- og passasjer-sideairbag,sideairbager,0.674
11476,936 cylinder cut-out system,navigasjonssystem,0.137
11477,cylinder cut-out system,navigasjonssystem,0.154
11478,"971 exhaust system with dpf, generation 1.5",navigasjonssystem,0.119
11479,"exhaust system with dpf, generation 1.5",navigasjonssystem,0.127
11480,adaptivt dempningssystem,navigasjonssystem,0.211
11481,adaptivt dempingssystem,navigasjonssystem,0.225
11482,214 adaptivt dempingssystem,navigasjonssystem,0.204
11483,"1q1 svingningsdemper ratt, 26,5 hz",skinnratt,0.099
11484,"1q1  svingningsdemper ratt, 26,5 hz",skinnratt,0.099
11485,m475black-sapphire metallic,metallic lakk,0.328
11486,m475 black-sapphire metallic,metallic lakk,0.363
11487,bak-kollisjonsvarsling,beltevarsler,0.205
11488,-bak-kollisjonsvarsling,beltevarsler,0.205
11489,automatic emergency braking (aeb),skinnseter,0.069
11490,-automatic emergency braking (aeb),skinnseter,0.069
11491,uv-beskyttelse og lyddemping på vinduer,el.vinduer,0.295
11492,-uv-beskyttelse og lyddemping på vinduer,el.vinduer,0.295
11493,front foglights,cruisekontroll,0.042
11494,front fog lights,cruisekontroll,0.054
11495,473 armrest front,alarm,0.095
11496,"473 armrest, front",alarm,0.095
11497,armrest front,alarm,0.11
11498,mountain top roll,cruisekontroll,0.127
11499,mountain top rollo,cruisekontroll,0.119
11500,"dekor, aluminium matt børstet",cruisekontroll,0.089
11501,dekor aluminium børstet,cruisekontroll,0.093
11502,panorama soltak med åpning,takrails,0.079
11503,panoramatak med åpning,takrails,0.083
11504,med utvidet sikkerhetssystem (precrash basic og front),navigasjonssystem,0.155
11505,utvidet sikkerhetssystem (precrash basic og front),navigasjonssystem,0.156
11506,403 glass roof&amp;&amp; electrical,elektriske speil,0.073
11507,glass roof&amp;&amp; electrical,elektriske speil,0.076
11508,02vw m sports supension professional,air condition,0.067
11509,2vw m sports supension professional,air condition,0.069
11510,"04lf fine-wood trim ""fineline ridge""",elektriske speil,0.032
11511,"fine-wood trim ""fineline ridge""",elektriske speil,0.035
11512,"s4lf fine-wood trim ""fineline ridge""",elektriske speil,0.032
11513,04t7 massage function f.driver &amp; fr.passenger,sideairbager,0.072
11514,4t7 massage function f.driver &amp; fr.passenger,sideairbager,0.075
11515,gassutladningslykter med kurvelys,skinninteriør,0.062
11516,8im gassutladningslykter med kurvelys,skinninteriør,0.059
11517,vinterhjul aluf piggfri,vinterhjul,0.624
11518,vinterhjul alu piggfri,vinterhjul,0.644
11519,"vinterhjul aluf 18"" piggfri",vinterhjul,0.624
11520,544 dynamic cruise control,cruisekontroll,0.5
11521,s544 dynamic cruise control,cruisekontroll,0.457
11522,"- 20"" forged diamond felger",lettmet. felg vinter,0.141
11523,"20"" forged diamond felger",lettmet. felg vinter,0.141
11524,022gb cabin air ionisation,air condition,0.186
11525,cabin air ionisation,air condition,0.239
11526,9wt apple® carplay,handsfree opplegg,0.198
11527,9wt  apple® carplay,handsfree opplegg,0.198
11528,412 panoramatak med magic sky control,cruisekontroll,0.138
11529,412 panorama-tak med magic sky control,cruisekontroll,0.138
11530,412 panorama magic sky control,cruisekontroll,0.151
11531,wip sound lydsystem (radio/cd-spiller med mp3-funksjon),cd-spiller,0.484
11532,swing lydsystem (radio/cd-spiller med mp3-funksjon),cd-spiller,0.493
11533,adaptivt lys,xenonlys,0.089
11534,adaptive lys,xenonlys,0.098
11535,adaptive tåkelys,diesel-partikkelfilter,0.078
11536,01rz bmw light-alloy wheel dbl.spoke 570m fg,metallic lakk,0.092
11537,bmw light-alloy wheel dbl.spoke 570m fg,metallic lakk,0.103
11538,01rz bmw light-alloy wheel dbl spoke 570m fg,metallic lakk,0.099
11539,setevarme for for- og bakseter,oppvarmede seter,0.414
11540,"setevarme for for- og bakseter,",oppvarmede seter,0.414
11541,kabel &amp; trådløs app-connect,beltevarsler,0.061
11542,9wj kabel &amp; trådløs app-connect,beltevarsler,0.056
11543,deletion of 'turbo' designation on headrests,air condition,0.141
11544,3j4 deletion of 'turbo' designation on headrests,air condition,0.133
11545,76h public charging cable (mode 3),metallic lakk,0.095
11546,76h f public charging cable (mode 3),metallic lakk,0.095
11547,public charging cable (mode 3),metallic lakk,0.103
11548,sort premium interiør,skinninteriør,0.356
11549,sort premium skinninteriør,skinninteriør,0.725
11550,integrerte barneseter,lakkerte utvendige speil,0.145
11551,integr. barneseter,vinterdekk,0.167
11552,integrert barnesete,vinterdekk,0.118
11553,313 innfellbare speil,elektriske speil,0.218
11554,313 innfellbare side speil,elektriske speil,0.207
11555,"premium-lyd - 14 høyttalere, 1 subwoofer, 2 forsterkere og altoppslukende lyd",parkeringsensor foran,0.072
11556,"premium-lyd - 13 høyttalere, 1 subwoofer, 2 forsterkere og altoppslukende lyd",parkeringsensor foran,0.072
11557,676 hi fi lydsystem,navigasjonssystem,0.191
11558,676 hifi lydsystem,navigasjonssystem,0.168
11559,676 hifi system,navigasjonssystem,0.217
11560,gule bremsecallipere,abs-bremser,0.274
11561,orange bremsecallipere,abs-bremser,0.268
11562,4 veis elektrisk lumbar support,elektriske speil,0.378
11563,2 veis elektrisk lumbar support,elektriske speil,0.378
11564,parkeringsvarmer med tidsur,parkeringsensor bak,0.353
11565,parkeringsvarmer  med tidsur,parkeringsensor bak,0.353
11566,sport seat,,0.0
11567,sports seat,startsperre,0.132
11568,03mc indiv. roof rail high-gloss shadow line,takrails,0.162
11569,3mc - ind.roof rails high-gloss shadow line,takrails,0.253
11570,ind.roof rails high-gloss shadow l,takrails,0.271
11571,s3mca indiv roof rail highgloss shadow line,takrails,0.149
11572,1a2 direct fuel injection (dfi),kjørecomputer,0.08
11573,direct fuel injection (dfi),kjørecomputer,0.086
11574,baklykter med 3d-effekt,oppvarmede seter,0.066
11575,baklykter 3d effekt,elektriske speil,0.064
11576,s258 dekk med runflat-egenskaper,vinterdekk,0.133
11577,r66 dekk med run-flat-egenskaper,vinterdekk,0.137
11578,0rc electric steering column lock,elektriske speil,0.082
11579,electric steering column lock,elektriske speil,0.091
11580,5k7 transportbeskyttelsesfolie med ekstra transportbeskyttelsestiltak,sentrallås,0.083
11581,transportbeskyttelsesfolie med ekstra transportbeskyttelsestiltak,sentrallås,0.085
11582,5k7  transportbeskyttelsesfolie (minste beskyttelse) med ekstra transportbeskyttelsestiltak,sentrallås,0.069
11583,5k5 transportbeskyttelsesfolie med ekstra transportbeskyttelsestiltak,sentrallås,0.083
11584,nye sommerdekk,sommerdekk,0.857
11585,nye sommerdekk!,sommerdekk,0.857
11586,p09 solbeskyttelse pakke,lakkerte utvendige speil,0.068
11587,p09 solbeskyttelsespakke,lakkerte utvendige speil,0.062
11588,0na f deletion of model designation,air condition,0.155
11589,- 0na f deletion of model designation,air condition,0.155
11590,deletion of model designation,air condition,0.166
11591,p1n7 dynamic steering,parkeringsensor bak,0.094
11592,1n7 dynamic steering,parkeringsensor bak,0.106
11593,"m15 capacity 1,5 liter",skinnseter,0.034
11594,"m55 capacity 5,5 litre",,0.0
11595,electronic parking brake,parkeringsensor bak,0.138
11596,electric park brake,parkeringsensor bak,0.136
11597,"s4ce fine-wood version, fineline, anthracite",antispinn,0.04
11598,"fine-wood version, fineline, anthracite",antispinn,0.044
11599,pq1d sports seats in front,startsperre,0.07
11600,sports seats in front,startsperre,0.099
11601,adaptive sportsseter med minne (18-veis elektrisk,elektrisk sete m. memory,0.342
11602,q1j adaptive sportsseter med minne (18-veis elektrisk),elektrisk sete m. memory,0.323
11603,465 gjennomlasting 40:20:40,parkeringsensor bak,0.017
11604,465 gjennomlastingssystem 40:20:40,navigasjonssystem,0.164
11605,360-graders panoramakamera,ryggekamera,0.228
11606,360 grader panorama kamera,ryggekamera,0.287
11607,360 grader park. kamera,ryggekamera,0.353
11608,"s2pe bmw la wheel, m star spoke 400",startsperre,0.127
11609,"- s2pe bmw la wheel, m star spoke 400",startsperre,0.127
11610,02pe bmw la wheel m star spoke 400,startsperre,0.127
11611,"s2pe bmw la hjul, m star spoke 400",vinterhjul,0.214
11612,dynamic chassis,,0.0
11613,dynamisk chassis,elektriske speil,0.064
11614,8ay radio-navigasjonssystem,navigasjonssystem,0.782
11615,8ay radio navigationssystem,navigasjonssystem,0.628
11616,sort keramiske eksosenderør,parkeringsensor bak,0.161
11617,sorte keramiske eksosenderør,lakkerte utvendige speil,0.161
11618,- sorte keramiske enderør,lakkerte utvendige speil,0.199
11619,led-matrix hovedlys inkl. porsche dynamic light,xenonlys,0.04
11620,led-matrix hovedlys i svart ink. porsche dynamic light,xenonlys,0.039
11621,kjøreassistentsystem: aktiv filskiftevarsling,beltevarsler,0.284
11622,kjøreassistentsystem: aktivt filskiftevarslingssystem (lka),beltevarsler,0.238
11623,1g8 tire fit (flat-tyre set),servostyring,0.069
11624,1g8 rer tire fit (flat-tyre set),servostyring,0.067
11625,lysdesignpakke,lakkerte utvendige speil,0.074
11626,- lysdesignpakke,lakkerte utvendige speil,0.074
11627,210a skinn,skinnseter,0.323
11628,220a skinn,skinnseter,0.33
11629,med front- og bakkamera og to sidekamera,ryggekamera,0.534
11630,front- og bakkamera og to sidekamera,ryggekamera,0.54
11631,aluminium fothviler,bluetooth,0.1
11632,aluminium fothvilere,bluetooth,0.098
11633,bortfall av modellbetegnelse,regnsensor,0.124
11634,bortfall av modellbetegnelse (0),regnsensor,0.124
11635,full elektriske seter,elektriske speil,0.628
11636,fullelektriske seter,elektriske speil,0.532
11637,led headlight,,0.0
11638,led headlights,,0.0
11639,6u3 bmw live cockpit control,cruisekontroll,0.159
11640,6u3 - bmw live cockpit control,cruisekontroll,0.159
11641,pvl1 extended pedestrian protection measures,air condition,0.062
11642,extended pedestrian protection measures,air condition,0.07
11643,3qt trepunktseler foran med beltestrammer og høyderegulering,regulerbart ratt,0.299
11644,3qt  trepunktseler foran med beltestrammer og høyderegulering,regulerbart ratt,0.299
11645,3sg sportskomfortsete på høyre side foran,airbag foran side,0.263
11646,3sg  sportskomfortsete på høyre side foran,airbag foran side,0.263
11647,3tg sportskomfortsete på venstre side foran,airbag foran side,0.256
11648,3tg  sportskomfortsete på venstre side foran,airbag foran side,0.256
11649,p5k7 transport protection film (minimum protection) with additional transport protection measures,air condition,0.216
11650,p5k5 transport protection film with additional transport protection measures,air condition,0.229
11651,• gz2 soft close-dører,isofix,0.142
11652,gz2 soft close-dører,isofix,0.142
11653,utvidet skinn pakke,skinnseter,0.274
11654,utvidet skinnpakke,skinnseter,0.228
11655,2 x usb-a bak,parkeringsensor bak,0.089
11656,-2 x usb-a bak,parkeringsensor bak,0.089
11657,2 x isofix (i baksetene),isofix,0.716
11658,-2 x isofix (i baksetene),isofix,0.716
11659,1x usb-a og 1x usb-c foran,airbag foran,0.211
11660,-1x usb-a og 1x usb-c foran,airbag foran,0.211
11661,"vinterpakke med varme i ratt, alle seter og de-ice visker",oppvarmede seter,0.289
11662,"vinterpakke med varme i alle seter, ratt og de-ice av visker",oppvarmede seter,0.289
11663,bang &amp; olufsen premium sound system,navigasjonssystem,0.128
11664,- bang &amp; olufsen premium sound system,navigasjonssystem,0.128
11665,bang &amp; olufsen premium system,navigasjonssystem,0.138
11666,6u8 gesture control,cruisekontroll,0.191
11667,6u8 - gesture control,cruisekontroll,0.191
11668,0m3 fuel tank 13 (80-litre),,0.0
11669,fuel tank 13 (80-litre),,0.0
11670,dagskjørelys med sensorstyrt kjørelys og coming home-funksjon,kjørecomputer,0.222
11671,dagskjørelys med sensorstyrt kjørelys og coming homefunksjon,kjørecomputer,0.222
11672,aluminiums dekor,cruisekontroll,0.104
11673,aluminiumsdekor,cruisekontroll,0.087
11674,"0k3 hybrid drive system, phev",navigasjonssystem,0.133
11675,0k3 hybrid drive system phev x7,navigasjonssystem,0.133
11676,tilhengerregistrering,startsperre,0.227
11677,tilhenger registering,parkeringsensor bak,0.099
11678,heated front seats,cruisekontroll,0.048
11679,nm02 heated front seats,cruisekontroll,0.037
11680,033bv heated front seats,cruisekontroll,0.034
11681,with heated front seats,cruisekontroll,0.044
11682,01lx bmw light-alloy wheel double spoke 838m,metallic lakk,0.093
11683,1lx bmw light-alloy wheel double spoke 838m,metallic lakk,0.097
11684,ki02 adaptive cruise control acc,cruisekontroll,0.438
11685,ki02 adaptiv cruise control acc,cruisekontroll,0.445
11686,- switchable exhaust system,navigasjonssystem,0.125
11687,switchable exhaust system,navigasjonssystem,0.125
11688,0a2 4-dørs,,0.0
11689,0a2  4-dørs,,0.0
11690,el. seter m/minnefunksjon,multifunksjonsratt,0.35
11691,el. sportsseter m/minnefunksjon,multifunksjonsratt,0.299
11692,sportsseter med minnefunksjon,multifunksjonsratt,0.305
11693,fjernkontroll for dieselvarmer,cruisekontroll,0.257
11694,- fjernkontroll for dieselvarmer,cruisekontroll,0.257
11695,fjernkontroll dieselvarmer,cruisekontroll,0.26
11696,elektriske seter foran med minne begge sider,elektriske speil,0.481
11697,el seter foran med minne begge sider,airbag foran side,0.352
11698,el seter med minne på begge sider.,skinnseter,0.246
11699,carbon interiørdetaljer,skinninteriør,0.243
11700,karbon interiørdetaljer,skinninteriør,0.242
11701,carbon interiør detaljer,skinninteriør,0.269
11702,logoprojektor,elektriske speil,0.057
11703,logo projektor,elektriske speil,0.066
11704,p0e1 short wheelbase,,0.0
11705,short wheelbase,,0.0
11706,p0e1  short wheelbase,,0.0
11707,641 led intelligent light system,navigasjonssystem,0.143
11708,led intelligent light system,navigasjonssystem,0.157
11709,"led intelligent light system, ils",navigasjonssystem,0.15
11710,4t9 varmepumpe,oppvarmede seter,0.172
11711,4t9 - varmepumpe,oppvarmede seter,0.172
11712,4t9 wärmepumpe,oppvarmede seter,0.06
11713,solgardin i bakvindu,el.vinduer,0.192
11714,solgardin bakvinduer,el.vinduer,0.382
11715,- varmer med app styring,servostyring,0.428
11716,*varmer med appstyring,servostyring,0.35
11717,872 setevarme bak,oppvarmede seter,0.343
11718,872 setevarme,oppvarmede seter,0.355
11719,windowbags,airbag foran,0.115
11720,windowbag,airbag foran,0.126
11721,2vr 2axle air suspension,air condition,0.122
11722,2vr 2-axle air suspension,air condition,0.122
11723,"3nz baksete udelt, delt rygglene, nedleggbart",ryggekamera,0.112
11724,"baksete udelt, delt rygglene, nedleggbart",ryggekamera,0.118
11725,403 elektrisk soltak,elektriske speil,0.467
11726,403 - elektrisk soltak,elektriske speil,0.467
11727,"hengerfeste, opp til 2200 kg",oppvarmede seter,0.079
11728,"hengerfeste, opp til 2000 kg",oppvarmede seter,0.082
11729,"hengerfeste, opp til 2500 kg",oppvarmede seter,0.08
11730,"hengerfeste, opp til 3500 kg",oppvarmede seter,0.079
11731,"hengerfeste, opp til 1700 kg",oppvarmede seter,0.075
11732,"climatronic, cfc-fri",klimaanlegg,0.135
11733,"climatronic, cfc-free",klimaanlegg,0.132
11734,glove box lamp med hanskeromlys,elektriske speil,0.08
11735,glove box lamp: med hanskeromlys,elektriske speil,0.08
11736,med faste fotpedaler,regulerbart ratt,0.048
11737,med faste fot´pedaler,regulerbart ratt,0.048
11738,offroadpakke,lakkerte utvendige speil,0.082
11739,offroad-pakke,lakkerte utvendige speil,0.082
11740,430 offroad-pakke,lakkerte utvendige speil,0.076
11741,med dørbekledning nivå 2,skinninteriør,0.061
11742,med dørbekledning nivå 5,skinninteriør,0.061
11743,defa motor/kupevarmer,oppvarmede seter,0.144
11744,defa motor/kupevarmer.,oppvarmede seter,0.144
11745,f211 series production 211,air condition,0.072
11746,f218 series production 218,air condition,0.073
11747,automatisk bakkestartassistent,startsperre,0.165
11748,automatisk bakkestartassist,startsperre,0.172
11749,tåkelys med integrerte kurvelys,lakkerte utvendige speil,0.108
11750,tåkelys led med integrert kurvelys,xenonlys,0.089
11751,utmanøverassistent.,ryggekamera,0.059
11752,utmanøverassist.,ryggekamera,0.061
11753,kjøreassistentsystem: parkeringsstyreassistent (park assist),parkeringsensor bak,0.254
11754,kjøreassistentsystem: parkeringsstyreassistent (park assist) inkluder,parkeringsensor bak,0.238
11755,innvendig kledning bak,lakkerte utvendige speil,0.246
11756,innvendig kledning,lakkerte utvendige speil,0.251
11757,4t8 - expanded exterior mirror package,skinninteriør,0.055
11758,4t8 expanded exteriror mirror package,skinninteriør,0.121
11759,20 med 10 eiker black diamond cut,air condition,0.13
11760,20 med 5 multieiker black diamond cut,multifunksjonsratt,0.154
11761,12v kontakt,cruisekontroll,0.171
11762,12 v-kontakt,cruisekontroll,0.152
11763,med 8 høyttalere,metallic lakk,0.099
11764,med 6 høyttalere,metallic lakk,0.099
11765,s359a visibility package,sideairbager,0.043
11766,s359 visibility package,sideairbager,0.046
11767,0359 visibility package,sideairbager,0.046
11768,privacy glass (tonede ruter fra b-stolpen),oppvarmede seter,0.085
11769,privacy glass (mørktonede ruter fra b-stolpe og bak),oppvarmede seter,0.079
11770,"fremre fjær, belastningsklasse x",parkeringsensor bak,0.059
11771,"fremre fjær, belastningsklasse p",parkeringsensor bak,0.059
11772,et4 active distance assist distronic,startsperre,0.042
11773,active distance assist distronic,startsperre,0.045
11774,ls1 råkarosserilasttrinn 1/1.5,skinninteriør,0.073
11775,ls2 råkarosserilasttrinn 2,skinninteriør,0.079
11776,multifunksjons sportsratt,multifunksjonsratt,0.829
11777,multifunksjonssportsratt,multifunksjonsratt,0.762
11778,bang &amp; olufsen sound system,navigasjonssystem,0.148
11779,bang &amp; olufsen 3d sound system,navigasjonssystem,0.148
11780,9vs bang&amp;olufsen h7 sound system,aux-inngang,0.149
11781,bang &amp; olufsen advanced sound system,navigasjonssystem,0.118
11782,bang&amp;olufsen sound system 3d,aux-inngang,0.161
11783,phonebox,,0.0
11784,phone box,,0.0
11785,rullegardin for siderutene bak,airbag foran side,0.151
11786,3y4 rullegardin for siderutene  bak,airbag foran side,0.139
11787,cl4 multifunction steering wheel with trip computer,kjørecomputer,0.336
11788,cl4 multifunction steering wheel with trip comput,multifunksjonsratt,0.291
11789,mercedes me charge,oppvarmede seter,0.103
11790,28u mercedes me charge,oppvarmede seter,0.089
11791,convenience pack,lakkerte utvendige speil,0.063
11792,convenience pack 2,lakkerte utvendige speil,0.063
11793,med reostat på instrumentgruppa,servostyring,0.086
11794,reostat på instrumentgruppa,servostyring,0.087
11795,ratt (skinn / 3 eiker),skinnratt,0.478
11796,ratt (skinn 4 eiker),skinnratt,0.478
11797,med meldingssentergruppe,parkeringsensor bak,0.108
11798,"med meldingssentergruppe, i.pa",parkeringsensor bak,0.103
11799,setevarme for fører og forsetepassasjer,oppvarmede seter,0.297
11800,setevarmer for fører og forsetepassasjer,oppvarmede seter,0.293
11801,eyesight (førerassistansesystem),navigasjonssystem,0.121
11802,eyesight førerassistanse,skinnseter,0.103
11803,webasto tillegsvarmer,oppvarmede seter,0.159
11804,webasto tilleggsvarmer,oppvarmede seter,0.157
11805,stoff seter,skinnseter,0.24
11806,stoffseter,skinnseter,0.174
11807,start/stopp system,startsperre,0.327
11808,start-stopp system,startsperre,0.327
11809,"kjøreassistentsystem: blindsoneassistent (blindsoneinformasjonssystem, blis)",navigasjonssystem,0.308
11810,kjøreassistentsystem: blindsoneassistent (blindsoneinformasjonssystem,navigasjonssystem,0.32
11811,459seat adjustment&amp;&amp; electric&amp;&amp; with memory,elektrisk sete m. memory,0.23
11812,seat adjustment&amp;&amp; electric&amp;&amp; with memory,elektrisk sete m. memory,0.251
11813,459 seat adjustment&amp;&amp; electric&amp;&amp; with memory,elektrisk sete m. memory,0.246
11814,elektron. differensiallås corner traction control (ctc) med torque vectoring,sentrallås,0.183
11815,elektron. differensiallås corner traction control (ctc) med torque ve,sentrallås,0.205
11816,audi connect navigation &amp; infotainment,navigasjonssystem,0.223
11817,audi connect navigasjon &amp; infotainment,navigasjonssystem,0.378
11818,audi connect navigasjon og infotainment1,navigasjonssystem,0.362
11819,mb mobilo with dsb and ggd,handsfree opplegg,0.054
11820,mb-mobilo with dsb and ggd,handsfree opplegg,0.045
11821,- mb mobilo with dsb and ggd,handsfree opplegg,0.054
11822,pcm 3 - off-road module,regulerbart ratt,0.099
11823,7t1 pcm 3 - off-road module,regulerbart ratt,0.088
11824,g011 transmission code version 11,air condition,0.071
11825,g013 transmission code version 13,air condition,0.071
11826,g041 transmission code version 41,air condition,0.071
11827,"19"" regulus antrasitt +tire fit",regulerbart ratt,0.26
11828,"19"" regulust antrasitt +tire fit",regulerbart ratt,0.256
11829,"abs-system, alle hjul",navigasjonssystem,0.268
11830,"abs-system, alle hjul gen 4",navigasjonssystem,0.257
11831,896 daytime driving lights,vinterdekk,0.065
11832,daytime driving lights,vinterdekk,0.072
11833,elektrisk bakluke m/handsfree funksjon,handsfree opplegg,0.434
11834,elektrisk bakluke med handsfree-funksjon,handsfree opplegg,0.421
11835,s775 headlining antrasitt,sentrallås,0.116
11836,775headlining antrasitt,sentrallås,0.107
11837,s760 høyglans skyggelinje,ryggekamera,0.141
11838,760høyglans skyggelinje,ryggekamera,0.131
11839,kompas m/au.dim.inv.speil,elektriske speil,0.173
11840,kompas m au.dim.inv.speil,elektriske speil,0.184
11841,fotsensor elektrisk bakluke,elektriske speil,0.377
11842,sensorstyrt elektrisk bakluke,elektriske speil,0.37
11843,4a3 oppvarmbare forseter,oppvarmede seter,0.503
11844,• 4a3 oppvarmbare forseter,oppvarmede seter,0.503
11845,"vinterhjul på 21"" org. bmw  lettmetallfelger",lettmet. felg vinter,0.618
11846,"vinterhjul på org. bmw 19"" lettmetallfelger",lettmet. felg vinter,0.618
11847,"vinterhjul på 16"" org. mazda lettmetallfelger",lettmet. felg vinter,0.535
11848,"sommerhjul på 18"" org. mazda lettmetallfelger",lettmet. felg sommer,0.565
11849,qx7 one touch start system,startsperre,0.194
11850,one touch start system,startsperre,0.228
11851,205/60 r16h,,0.0
11852,205/60r16,,0.0
11853,06ar internet,vinterdekk,0.168
11854,6ar internet,vinterdekk,0.188
11855,6arinternet,vinterdekk,0.17
11856,"s230 ekstrapakke, eu-spesifikt",lakkerte utvendige speil,0.086
11857,"ekstrapakke, eu-spesifikk",lakkerte utvendige speil,0.098
11858,"comfort seat, rear, electr.adjustable",radio fm,0.124
11859,"460 comfort seat, rear, electr.adjustable",radio fm,0.114
11860,active safety brake inkl fotgjengere (0-85 km/t),sideairbager,0.037
11861,active safety brake inkl fotgjengere,sideairbager,0.04
11862,4nb - klimaautomatikk med 4 soner,klimaanlegg,0.321
11863,4nb  klimaautomatikk med 4-soner,klimaanlegg,0.303
11864,4nb - klimaautomatikk 4-soner,klimaanlegg,0.307
11865,led lys m/fjernlysassistent,xenonlys,0.223
11866,led m/fjernlysassistent,fjernstyrt sentrallås,0.21
11867,led lys med fjernlysassistent,xenonlys,0.234
11868,k03 leather seat &amp; room trim,elektriske speil,0.046
11869,leather seat &amp; room trim,elektriske speil,0.051
11870,5a1 electrohydraulic controller unit-converter,cruisekontroll,0.152
11871,- electrohydraulic controller unit-converter,cruisekontroll,0.156
11872,"407 panorama glass roof, sky lounge",airbag foran,0.063
11873,"407 - panorama glass roof, sky lounge",airbag foran,0.063
11874,"407panorama glass roof, sky lounge",airbag foran,0.055
11875,innstigningslister rustfritt stål,skinnseter,0.162
11876,"innstigningslister i rustfritt stål, belyste",skinnseter,0.151
11877,automatisk hovedlys med nedblending,antiskrens,0.106
11878,automatiske hovedlys med nedblending,elektriske speil,0.122
11879,exterior tailgate handle karosserifarget baklukehåndtak,takrails,0.1
